score,url_a,title_a,url_b,title_b,same_service,same_city
0.935,https://rukn-eltatawer.com/eg/en/villa-finishing-maadi-en/,"Villa finishing in Maadi, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-maadi-en/,"Apartment finishing in Maadi, Egypt",False,True
0.935,https://rukn-eltatawer.com/eg/en/villa-finishing-tanta-en/,"Villa finishing in Tanta, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-tanta-en/,"Apartment finishing in Tanta, Egypt",False,True
0.935,https://rukn-eltatawer.com/eg/en/villa-finishing-mokattam-en/,"Villa finishing in Mokattam, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-mokattam-en/,"Apartment finishing in Mokattam, Egypt",False,True
0.935,https://rukn-eltatawer.com/eg/en/villa-finishing-luxor-en/,"Villa finishing in Luxor, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-luxor-en/,"Apartment finishing in Luxor, Egypt",False,True
0.935,https://rukn-eltatawer.com/eg/en/villa-finishing-obour-city-en/,"Villa finishing in Obour, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-obour-city-en/,"Apartment finishing in Obour, Egypt",False,True
0.934,https://rukn-eltatawer.com/eg/en/villa-finishing-aswan-en/,"Villa finishing in Aswan, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-aswan-en/,"Apartment finishing in Aswan, Egypt",False,True
0.934,https://rukn-eltatawer.com/eg/en/villa-finishing-assiut-en/,"Villa finishing in Assiut, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-assiut-en/,"Apartment finishing in Assiut, Egypt",False,True
0.934,https://rukn-eltatawer.com/eg/en/villa-finishing-minya-en/,"Villa finishing in Minya, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-minya-en/,"Apartment finishing in Minya, Egypt",False,True
0.934,https://rukn-eltatawer.com/eg/en/villa-finishing-smouha-en/,"Villa finishing in Smouha, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-smouha-en/,"Apartment finishing in Smouha, Egypt",False,True
0.933,https://rukn-eltatawer.com/eg/en/villa-finishing-banha-en/,"Villa finishing in Banha, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-banha-en/,"Apartment finishing in Banha, Egypt",False,True
0.933,https://rukn-eltatawer.com/eg/en/villa-finishing-heliopolis-en/,"Villa finishing in Heliopolis, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-heliopolis-en/,"Apartment finishing in Heliopolis, Egypt",False,True
0.933,https://rukn-eltatawer.com/eg/en/villa-finishing-suez-en/,"Villa finishing in Suez, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-suez-en/,"Apartment finishing in Suez, Egypt",False,True
0.933,https://rukn-eltatawer.com/eg/en/villa-finishing-qena-en/,"Villa finishing in Qena, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-qena-en/,"Apartment finishing in Qena, Egypt",False,True
0.933,https://rukn-eltatawer.com/eg/en/villa-finishing-port-said-en/,"Villa finishing in Port Said, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-port-said-en/,"Apartment finishing in Port Said, Egypt",False,True
0.932,https://rukn-eltatawer.com/eg/en/villa-finishing-sohag-en/,"Villa finishing in Sohag, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-sohag-en/,"Apartment finishing in Sohag, Egypt",False,True
0.932,https://rukn-eltatawer.com/eg/en/villa-finishing-zagazig-en/,"Villa finishing in Zagazig, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-zagazig-en/,"Apartment finishing in Zagazig, Egypt",False,True
0.931,https://rukn-eltatawer.com/eg/en/villa-finishing-ismailia-en/,"Villa finishing in Ismailia, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-ismailia-en/,"Apartment finishing in Ismailia, Egypt",False,True
0.931,https://rukn-eltatawer.com/eg/en/villa-finishing-new-borg-el-arab-en/,"Villa finishing in New Borg El Arab, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-new-borg-el-arab-en/,"Apartment finishing in New Borg El Arab, Egypt",False,True
0.931,https://rukn-eltatawer.com/eg/en/villa-finishing-al-shorouk-en/,"Villa finishing in Shorouk, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-al-shorouk-en/,"Apartment finishing in Shorouk, Egypt",False,True
0.930,https://rukn-eltatawer.com/eg/en/villa-finishing-new-mansoura-en/,"Villa finishing in New Mansoura, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-new-mansoura-en/,"Apartment finishing in New Mansoura, Egypt",False,True
0.930,https://rukn-eltatawer.com/eg/en/villa-finishing-new-capital-en/,"Villa finishing in New Administrative Capital, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-new-capital-en/,"Apartment finishing in New Administrative Capital, Egypt",False,True
0.929,https://rukn-eltatawer.com/eg/en/villa-finishing-new-damietta-en/,"Villa finishing in New Damietta, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-new-damietta-en/,"Apartment finishing in New Damietta, Egypt",False,True
0.929,https://rukn-eltatawer.com/eg/en/home-villa-cleaning-fifth-settlement-en/,"Home and villa cleaning in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/home-villa-maintenance-fifth-settlement-en/,"Home and villa maintenance in Fifth Settlement, Egypt",False,True
0.928,https://rukn-eltatawer.com/eg/en/villa-finishing-new-october-en/,"Villa finishing in New October, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-new-october-en/,"Apartment finishing in New October, Egypt",False,True
0.928,https://rukn-eltatawer.com/eg/en/villa-finishing-hadayek-october-en/,"Villa finishing in Hadayek October, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-hadayek-october-en/,"Apartment finishing in Hadayek October, Egypt",False,True
0.927,https://rukn-eltatawer.com/eg/en/villa-finishing-mostakbal-city-en/,"Villa finishing in Mostakbal City, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-mostakbal-city-en/,"Apartment finishing in Mostakbal City, Egypt",False,True
0.926,https://rukn-eltatawer.com/eg/en/villa-finishing-mahalla-en/,"Villa finishing in El Mahalla El Kubra, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-mahalla-en/,"Apartment finishing in El Mahalla El Kubra, Egypt",False,False
0.924,https://rukn-eltatawer.com/eg/en/dressing-room-badr-city-en/,"Dressing room in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/custom-kitchens-badr-city-en/,"Custom kitchens in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/villa-finishing-badr-city-en/,"Villa finishing in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/apartment-finishing-badr-city-en/,"Apartment finishing in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/dressing-room-beni-suef-en/,"Dressing room in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/custom-kitchens-beni-suef-en/,"Custom kitchens in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/villa-finishing-beni-suef-en/,"Villa finishing in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/apartment-finishing-beni-suef-en/,"Apartment finishing in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/dressing-room-al-rehab-en/,"Dressing room in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/custom-kitchens-al-rehab-en/,"Custom kitchens in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/villa-finishing-al-rehab-en/,"Villa finishing in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/apartment-finishing-al-rehab-en/,"Apartment finishing in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/pest-control-fifth-settlement-en/,"Pest control in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-fifth-settlement-en/,"Gypsum technician in Fifth Settlement, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/dressing-room-fifth-settlement-en/,"Dressing room in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-fifth-settlement-en/,"Gypsum technician in Fifth Settlement, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/custom-kitchens-fifth-settlement-en/,"Custom kitchens in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-fifth-settlement-en/,"Gypsum technician in Fifth Settlement, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/villa-finishing-fifth-settlement-en/,"Villa finishing in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-fifth-settlement-en/,"Gypsum technician in Fifth Settlement, Egypt",False,True
0.924,https://rukn-eltatawer.com/eg/en/apartment-finishing-fifth-settlement-en/,"Apartment finishing in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-fifth-settlement-en/,"Gypsum technician in Fifth Settlement, Egypt",False,True
0.923,https://rukn-eltatawer.com/eg/en/dressing-room-kafr-el-sheikh-en/,"Dressing room in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-kafr-el-sheikh-en/,"Gypsum technician in Kafr El Sheikh, Egypt",False,True
0.923,https://rukn-eltatawer.com/eg/en/custom-kitchens-kafr-el-sheikh-en/,"Custom kitchens in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-kafr-el-sheikh-en/,"Gypsum technician in Kafr El Sheikh, Egypt",False,True
0.923,https://rukn-eltatawer.com/eg/en/villa-finishing-kafr-el-sheikh-en/,"Villa finishing in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-kafr-el-sheikh-en/,"Gypsum technician in Kafr El Sheikh, Egypt",False,True
0.923,https://rukn-eltatawer.com/eg/en/apartment-finishing-kafr-el-sheikh-en/,"Apartment finishing in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/gypsum-installer-kafr-el-sheikh-en/,"Gypsum technician in Kafr El Sheikh, Egypt",False,True
0.923,https://rukn-eltatawer.com/eg/en/home-villa-cleaning-sheikh-zayed-en/,"Home and villa cleaning in Sheikh Zayed, Egypt",https://rukn-eltatawer.com/eg/en/home-villa-maintenance-sheikh-zayed-en/,"Home and villa maintenance in Sheikh Zayed, Egypt",False,True
0.922,https://rukn-eltatawer.com/eg/en/coastal-interior-design-north-coast-en/,"Coastal interior design in North Coast, Egypt",https://rukn-eltatawer.com/eg/en/coastal-villa-finishing-north-coast-en/,"Coastal villa finishing in North Coast, Egypt",False,False
0.922,https://rukn-eltatawer.com/eg/en/home-villa-cleaning-new-capital-en/,"Home and villa cleaning in New Administrative Capital, Egypt",https://rukn-eltatawer.com/eg/en/home-villa-maintenance-new-capital-en/,"Home and villa maintenance in New Administrative Capital, Egypt",False,True
0.922,https://rukn-eltatawer.com/eg/en/home-villa-cleaning-6-october-en/,"Home and villa cleaning in 6th of October, Egypt",https://rukn-eltatawer.com/eg/en/home-villa-maintenance-6-october-en/,"Home and villa maintenance in 6th of October, Egypt",False,True
0.922,https://rukn-eltatawer.com/eg/en/coastal-villa-finishing-north-coast-en/,"Coastal villa finishing in North Coast, Egypt",https://rukn-eltatawer.com/eg/en/chalet-finishing-north-coast-en/,"Chalet finishing in North Coast, Egypt",False,False
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-badr-city-en/,"Dressing room in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-badr-city-en/,"Custom kitchens in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-badr-city-en/,"Dressing room in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-badr-city-en/,"Villa finishing in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-badr-city-en/,"Dressing room in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-badr-city-en/,"Apartment finishing in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-badr-city-en/,"Custom kitchens in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-badr-city-en/,"Villa finishing in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-badr-city-en/,"Custom kitchens in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-badr-city-en/,"Apartment finishing in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/pest-control-fifth-settlement-en/,"Pest control in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/dressing-room-fifth-settlement-en/,"Dressing room in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/pest-control-fifth-settlement-en/,"Pest control in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-fifth-settlement-en/,"Custom kitchens in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/pest-control-fifth-settlement-en/,"Pest control in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-fifth-settlement-en/,"Villa finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/pest-control-fifth-settlement-en/,"Pest control in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-fifth-settlement-en/,"Apartment finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-fifth-settlement-en/,"Dressing room in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-fifth-settlement-en/,"Custom kitchens in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-fifth-settlement-en/,"Dressing room in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-fifth-settlement-en/,"Villa finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-fifth-settlement-en/,"Dressing room in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-fifth-settlement-en/,"Apartment finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-fifth-settlement-en/,"Custom kitchens in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-fifth-settlement-en/,"Villa finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-fifth-settlement-en/,"Custom kitchens in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-fifth-settlement-en/,"Apartment finishing in Fifth Settlement, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-beni-suef-en/,"Dressing room in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-beni-suef-en/,"Custom kitchens in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-beni-suef-en/,"Dressing room in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-beni-suef-en/,"Villa finishing in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-beni-suef-en/,"Dressing room in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-beni-suef-en/,"Apartment finishing in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-beni-suef-en/,"Custom kitchens in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-beni-suef-en/,"Villa finishing in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-beni-suef-en/,"Custom kitchens in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-beni-suef-en/,"Apartment finishing in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-al-rehab-en/,"Dressing room in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-al-rehab-en/,"Custom kitchens in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-al-rehab-en/,"Dressing room in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-al-rehab-en/,"Villa finishing in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/dressing-room-al-rehab-en/,"Dressing room in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-al-rehab-en/,"Apartment finishing in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-al-rehab-en/,"Custom kitchens in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-al-rehab-en/,"Villa finishing in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/custom-kitchens-al-rehab-en/,"Custom kitchens in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-al-rehab-en/,"Apartment finishing in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/painter-badr-city-en/,"Painter in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/electrician-badr-city-en/,"Electrician in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-badr-city-en/,"Gypsum technician in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/plumber-badr-city-en/,"Plumber in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-badr-city-en/,"Painter in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/electrician-badr-city-en/,"Electrician in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-badr-city-en/,"Painter in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/plumber-badr-city-en/,"Plumber in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/electrician-badr-city-en/,"Electrician in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/plumber-badr-city-en/,"Plumber in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/plumber-badr-city-en/,"Plumber in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/carpenter-badr-city-en/,"Carpenter in Badr City, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/home-villa-cleaning-madinaty-en/,"Home and villa cleaning in Madinaty, Egypt",https://rukn-eltatawer.com/eg/en/home-villa-maintenance-madinaty-en/,"Home and villa maintenance in Madinaty, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/painter-al-rehab-en/,"Painter in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/electrician-al-rehab-en/,"Electrician in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-al-rehab-en/,"Gypsum technician in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/plumber-al-rehab-en/,"Plumber in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-al-rehab-en/,"Painter in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/electrician-al-rehab-en/,"Electrician in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-al-rehab-en/,"Painter in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/plumber-al-rehab-en/,"Plumber in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/electrician-al-rehab-en/,"Electrician in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/plumber-al-rehab-en/,"Plumber in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/plumber-al-rehab-en/,"Plumber in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/carpenter-al-rehab-en/,"Carpenter in Al Rehab, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/painter-beni-suef-en/,"Painter in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/electrician-beni-suef-en/,"Electrician in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/gypsum-installer-beni-suef-en/,"Gypsum technician in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/plumber-beni-suef-en/,"Plumber in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-beni-suef-en/,"Painter in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/electrician-beni-suef-en/,"Electrician in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/painter-beni-suef-en/,"Painter in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/plumber-beni-suef-en/,"Plumber in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/electrician-beni-suef-en/,"Electrician in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/plumber-beni-suef-en/,"Plumber in Beni Suef, Egypt",False,True
0.920,https://rukn-eltatawer.com/eg/en/plumber-beni-suef-en/,"Plumber in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/carpenter-beni-suef-en/,"Carpenter in Beni Suef, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/dressing-room-kafr-el-sheikh-en/,"Dressing room in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/custom-kitchens-kafr-el-sheikh-en/,"Custom kitchens in Kafr El Sheikh, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/dressing-room-kafr-el-sheikh-en/,"Dressing room in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-kafr-el-sheikh-en/,"Villa finishing in Kafr El Sheikh, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/dressing-room-kafr-el-sheikh-en/,"Dressing room in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-kafr-el-sheikh-en/,"Apartment finishing in Kafr El Sheikh, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/custom-kitchens-kafr-el-sheikh-en/,"Custom kitchens in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/villa-finishing-kafr-el-sheikh-en/,"Villa finishing in Kafr El Sheikh, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/custom-kitchens-kafr-el-sheikh-en/,"Custom kitchens in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-kafr-el-sheikh-en/,"Apartment finishing in Kafr El Sheikh, Egypt",False,True
0.919,https://rukn-eltatawer.com/eg/en/coastal-interior-design-ain-sokhna-en/,"Coastal interior design in Ain Sokhna, Egypt",https://rukn-eltatawer.com/eg/en/coastal-villa-finishing-ain-sokhna-en/,"Coastal villa finishing in Ain Sokhna, Egypt",False,True
